Time (s),P2 - LOX Tank Pressure,P3 - Fuel Tank Pressure,P1 - Chamber Pressure,Not Used,P4 - Veh High Pressure Tank,Not Use,P5 - Dome Pressure,P7 - Gnd High Pressure,P6 - GHE Fill Pressure,P8 - Pneumatics Pressure,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,QD Sep Indication,Lift Off Indicator,Main Valve Open Indicator,Main Valve Closed Indicator,Load Cell 1 - Veh Gross Weight,Load Cell 2 - - Veh Gross Weight,Not Used,Not Used,,,,,,,,,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,Relay1,Relay2,Relay3,Relay4,Relay5,Relay6,Relay7,Relay8,Relay9,Relay10,Relay11,Relay12,Relay13,Relay14,Relay15,Relay16,Manual/Auto (1=Auto),
79.954,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.42,-8.13,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,354.74 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.054,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.42,-8.13,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,354.74 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.155,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.42,-8.13,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,354.74 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.255,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.42,-8.13,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,354.74 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.355,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.42,-8.13,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,354.74 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.455,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.46,-7.90,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,355.01 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.555,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.46,-7.90,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,355.01 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.655,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.46,-7.90,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,355.01 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
80.755,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.46,-7.90,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,355.01 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
80.855,239.48,-1.37,-0.78,-4.26,-4.92,-1.42,-1.46,-7.90,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,-10.00,-10.00,-10.00,-83333.00,-83333.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.74 °C,354.74 °C,355.01 °C,354.74 °C,355.01 °C,354.74 °C,354.74 °C,1369.68 °C,21.38 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,1369.68 °C,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
